FID,ppt_ID,strmMap_id,upSlp_acre,wshed_name,imputed_sm,imputedPpt,base_fc,conf
100,226,481,415,Upper Methow,0,226,36.1736984,10
101,228,403,749,Upper Methow,0,228,22.0589008,10
102,229,0,379, ,5,1157,2.0000000,5
103,220,0,3176, ,1,1607,25.6625996,3
104,210,0,2719, ,1,183,18.2341995,2
105,193,218,3157,Upper Methow,0,916,3.9892199,10
106,224,217,385,Upper Methow,0,692,7.0000000,10
107,234,527,1519,Upper Methow,0,234,6.5318699,10
108,235,533,376,Upper Methow,0,235,15.0000000,10
109,236,0,1149, ,5,995,22.1109009,5
110,238,0,1503, ,2,5491,31.3694992,3
111,208,397,4090,Upper Methow,0,208,23.3010006,10
112,239,401,4437,Upper Methow,0,239,24.4185009,10
113,200,295,903,Upper Methow,0,251,5.3836098,10
114,213,294,569,Upper Methow,0,357,0.0000000,10
115,242,445,467,Upper Methow,0,242,32.0000000,10
116,243,410,3935,Upper Methow,0,243,23.4965000,10
117,227,402,3378,Upper Methow,0,227,21.9804001,10
118,250,435,455,Upper Methow,0,250,34.2995987,10
119,241,302,1536,Upper Methow,2,182,3.3767300,3
120,244,334,1380,Upper Methow,0,801,7.0101399,10
121,203,0,2995, ,1,1438,2.3411300,3
122,255,0,454, ,1,250,0.0000000,5
123,261,590,506,Upper Methow,0,261,7.0554500,10
124,262,588,442,Upper Methow,0,262,3.0000000,10
125,231,0,6189, ,1,384,22.1536999,2
126,230,0,2963, ,5,1606,2.6099300,5
127,192,0,902, ,4,5130,0.9977840,4
128,269,0,1311, ,1,487,24.0366001,3
129,240,149,648,Upper Methow,0,1589,6.0000000,10
130,219,150,2059,Upper Methow,0,5440,3.0000000,10
131,251,664,941,Upper Methow,0,251,14.4764996,10
132,254,663,1778,Upper Methow,0,254,0.0000000,10
133,263,0,419, ,4,5294,28.0841999,4
134,268,0,498, ,4,5245,35.8555984,4
135,218,0,6425, ,4,1993,37.3638992,4
136,270,0,2825, ,2,1606,25.0000000,3
137,232,248,4309,Upper Methow,0,921,4.3317299,10
138,246,0,776, ,6,2044,32.1651993,5
139,212,255,2532,Upper Methow,0,5121,0.0000000,10
140,258,203,457,Upper Methow,0,2101,5.0000000,10
141,278,0,352, ,4,1182,44.2503014,4
142,279,211,348,Upper Methow,0,3778,7.0000000,10
143,275,212,1600,Upper Methow,0,440,9.4626398,10
144,252,354,3677,Upper Methow,0,434,5.2391601,10
145,257,353,522,Upper Methow,0,3846,5.0576401,10
146,282,231,1097,Upper Methow,0,2003,10.0365000,10
147,276,0,365, ,5,1186,0.0000000,5
148,277,0,1289, ,4,1885,36.1576004,4
149,259,0,205615, ,0,259,29.2698994,0
