TIMESTAMP,MONTH,DAY,YEAR,HOUR,C
10.01.2001-00:00:00,10,01,2001,00,757.1
10.01.2001-03:00:00,10,01,2001,03,770.86
10.01.2001-06:00:00,10,01,2001,06,759.67
10.01.2001-09:00:00,10,01,2001,09,666.76
10.01.2001-12:00:00,10,01,2001,12,635.14
10.01.2001-15:00:00,10,01,2001,15,665.49
10.01.2001-18:00:00,10,01,2001,18,709.18
10.01.2001-21:00:00,10,01,2001,21,732.43
10.02.2001-00:00:00,10,02,2001,00,755.25
10.02.2001-03:00:00,10,02,2001,03,767.7
10.02.2001-06:00:00,10,02,2001,06,746.44
10.02.2001-09:00:00,10,02,2001,09,660.52
10.02.2001-12:00:00,10,02,2001,12,630.13
10.02.2001-15:00:00,10,02,2001,15,658.72
10.02.2001-18:00:00,10,02,2001,18,701.9
10.02.2001-21:00:00,10,02,2001,21,725.39
10.03.2001-00:00:00,10,03,2001,00,746.89
10.03.2001-03:00:00,10,03,2001,03,760.32
10.03.2001-06:00:00,10,03,2001,06,758.42
10.03.2001-09:00:00,10,03,2001,09,659.5
10.03.2001-12:00:00,10,03,2001,12,626.67
10.03.2001-15:00:00,10,03,2001,15,658.25
10.03.2001-18:00:00,10,03,2001,18,697.52
10.03.2001-21:00:00,10,03,2001,21,719.2
10.04.2001-00:00:00,10,04,2001,00,740.17
10.04.2001-03:00:00,10,04,2001,03,753.73
10.04.2001-06:00:00,10,04,2001,06,757.69
10.04.2001-09:00:00,10,04,2001,09,659.67
10.04.2001-12:00:00,10,04,2001,12,627.17
10.04.2001-15:00:00,10,04,2001,15,658.2
10.04.2001-18:00:00,10,04,2001,18,694.65
10.04.2001-21:00:00,10,04,2001,21,717.83
10.05.2001-00:00:00,10,05,2001,00,735.68
10.05.2001-03:00:00,10,05,2001,03,751.64
10.05.2001-06:00:00,10,05,2001,06,750.64
10.05.2001-09:00:00,10,05,2001,09,665.84
10.05.2001-12:00:00,10,05,2001,12,625.27
10.05.2001-15:00:00,10,05,2001,15,664.61
10.05.2001-18:00:00,10,05,2001,18,694.64
10.05.2001-21:00:00,10,05,2001,21,716.18
10.06.2001-00:00:00,10,06,2001,00,734.2
10.06.2001-03:00:00,10,06,2001,03,749.17
10.06.2001-06:00:00,10,06,2001,06,747.66
10.06.2001-09:00:00,10,06,2001,09,671.04
10.06.2001-12:00:00,10,06,2001,12,635.77
10.06.2001-15:00:00,10,06,2001,15,666.25
10.06.2001-18:00:00,10,06,2001,18,697.82
10.06.2001-21:00:00,10,06,2001,21,716.65
10.07.2001-00:00:00,10,07,2001,00,737.05
10.07.2001-03:00:00,10,07,2001,03,744.61
10.07.2001-06:00:00,10,07,2001,06,748.93
10.07.2001-09:00:00,10,07,2001,09,677.08
10.07.2001-12:00:00,10,07,2001,12,652.45
10.07.2001-15:00:00,10,07,2001,15,676.04
10.07.2001-18:00:00,10,07,2001,18,702.65
10.07.2001-21:00:00,10,07,2001,21,721.49
10.08.2001-00:00:00,10,08,2001,00,739.61
10.08.2001-03:00:00,10,08,2001,03,743.73
10.08.2001-06:00:00,10,08,2001,06,748.69
10.08.2001-09:00:00,10,08,2001,09,754.61
10.08.2001-12:00:00,10,08,2001,12,691.99
10.08.2001-15:00:00,10,08,2001,15,706.48
10.08.2001-18:00:00,10,08,2001,18,728.06
10.08.2001-21:00:00,10,08,2001,21,736.21
10.09.2001-00:00:00,10,09,2001,00,743.15
10.09.2001-03:00:00,10,09,2001,03,743.41
10.09.2001-06:00:00,10,09,2001,06,746.89
10.09.2001-09:00:00,10,09,2001,09,720.11
10.09.2001-12:00:00,10,09,2001,12,671.34
10.09.2001-15:00:00,10,09,2001,15,684.54
10.09.2001-18:00:00,10,09,2001,18,704.89
10.09.2001-21:00:00,10,09,2001,21,722.51
10.10.2001-00:00:00,10,10,2001,00,736.68
10.10.2001-03:00:00,10,10,2001,03,738.57
10.10.2001-06:00:00,10,10,2001,06,741.45
10.10.2001-09:00:00,10,10,2001,09,901.95
10.10.2001-12:00:00,10,10,2001,12,966.62
10.10.2001-15:00:00,10,10,2001,15,831.64
10.10.2001-18:00:00,10,10,2001,18,799.47
10.10.2001-21:00:00,10,10,2001,21,775.05
10.11.2001-00:00:00,10,11,2001,00,754.83
10.11.2001-03:00:00,10,11,2001,03,745.18
10.11.2001-06:00:00,10,11,2001,06,743.82
10.11.2001-09:00:00,10,11,2001,09,802.41
10.11.2001-12:00:00,10,11,2001,12,983.39
10.11.2001-15:00:00,10,11,2001,15,841.53
10.11.2001-18:00:00,10,11,2001,18,802.23
10.11.2001-21:00:00,10,11,2001,21,774.15
10.12.2001-00:00:00,10,12,2001,00,754.43
10.12.2001-03:00:00,10,12,2001,03,745.29
10.12.2001-06:00:00,10,12,2001,06,744.33
