TIMESTAMP,MONTH,DAY,YEAR,HOUR,C
10.01.2001-00:00:00,10,01,2001,00,681.25
10.01.2001-03:00:00,10,01,2001,03,683.99
10.01.2001-06:00:00,10,01,2001,06,670.73
10.01.2001-09:00:00,10,01,2001,09,600.78
10.01.2001-12:00:00,10,01,2001,12,574.22
10.01.2001-15:00:00,10,01,2001,15,596.74
10.01.2001-18:00:00,10,01,2001,18,651.17
10.01.2001-21:00:00,10,01,2001,21,665.63
10.02.2001-00:00:00,10,02,2001,00,672.8
10.02.2001-03:00:00,10,02,2001,03,675.55
10.02.2001-06:00:00,10,02,2001,06,657.97
10.02.2001-09:00:00,10,02,2001,09,594.12
10.02.2001-12:00:00,10,02,2001,12,568.94
10.02.2001-15:00:00,10,02,2001,15,590.97
10.02.2001-18:00:00,10,02,2001,18,644.22
10.02.2001-21:00:00,10,02,2001,21,658.07
10.03.2001-00:00:00,10,03,2001,00,665.83
10.03.2001-03:00:00,10,03,2001,03,668.81
10.03.2001-06:00:00,10,03,2001,06,664.59
10.03.2001-09:00:00,10,03,2001,09,591.5
10.03.2001-12:00:00,10,03,2001,12,565.57
10.03.2001-15:00:00,10,03,2001,15,588.58
10.03.2001-18:00:00,10,03,2001,18,639.4
10.03.2001-21:00:00,10,03,2001,21,652.1
10.04.2001-00:00:00,10,04,2001,00,659.43
10.04.2001-03:00:00,10,04,2001,03,662.12
10.04.2001-06:00:00,10,04,2001,06,663.27
10.04.2001-09:00:00,10,04,2001,09,589.6
10.04.2001-12:00:00,10,04,2001,12,565.08
10.04.2001-15:00:00,10,04,2001,15,590.64
10.04.2001-18:00:00,10,04,2001,18,636.31
10.04.2001-21:00:00,10,04,2001,21,649.02
10.05.2001-00:00:00,10,05,2001,00,654.86
10.05.2001-03:00:00,10,05,2001,03,657.04
10.05.2001-06:00:00,10,05,2001,06,659.92
10.05.2001-09:00:00,10,05,2001,09,588.65
10.05.2001-12:00:00,10,05,2001,12,566.23
10.05.2001-15:00:00,10,05,2001,15,595.92
10.05.2001-18:00:00,10,05,2001,18,635.54
10.05.2001-21:00:00,10,05,2001,21,646.63
10.06.2001-00:00:00,10,06,2001,00,650.05
10.06.2001-03:00:00,10,06,2001,03,653.78
10.06.2001-06:00:00,10,06,2001,06,654.53
10.06.2001-09:00:00,10,06,2001,09,591.08
10.06.2001-12:00:00,10,06,2001,12,571.36
10.06.2001-15:00:00,10,06,2001,15,600.94
10.06.2001-18:00:00,10,06,2001,18,633.76
10.06.2001-21:00:00,10,06,2001,21,643.23
10.07.2001-00:00:00,10,07,2001,00,647.27
10.07.2001-03:00:00,10,07,2001,03,649.27
10.07.2001-06:00:00,10,07,2001,06,649.31
10.07.2001-09:00:00,10,07,2001,09,598.39
10.07.2001-12:00:00,10,07,2001,12,582.85
10.07.2001-15:00:00,10,07,2001,15,608.01
10.07.2001-18:00:00,10,07,2001,18,633.66
10.07.2001-21:00:00,10,07,2001,21,642.28
10.08.2001-00:00:00,10,08,2001,00,644.74
10.08.2001-03:00:00,10,08,2001,03,644.89
10.08.2001-06:00:00,10,08,2001,06,644.62
10.08.2001-09:00:00,10,08,2001,09,654.28
10.08.2001-12:00:00,10,08,2001,12,593.43
10.08.2001-15:00:00,10,08,2001,15,610.08
10.08.2001-18:00:00,10,08,2001,18,634.64
10.08.2001-21:00:00,10,08,2001,21,640.47
10.09.2001-00:00:00,10,09,2001,00,643.17
10.09.2001-03:00:00,10,09,2001,03,642.43
10.09.2001-06:00:00,10,09,2001,06,638.92
10.09.2001-09:00:00,10,09,2001,09,620.46
10.09.2001-12:00:00,10,09,2001,12,577.6
10.09.2001-15:00:00,10,09,2001,15,595.43
10.09.2001-18:00:00,10,09,2001,18,624.23
10.09.2001-21:00:00,10,09,2001,21,630.87
10.10.2001-00:00:00,10,10,2001,00,635.23
10.10.2001-03:00:00,10,10,2001,03,635.81
10.10.2001-06:00:00,10,10,2001,06,636.24
10.10.2001-09:00:00,10,10,2001,09,781.01
10.10.2001-12:00:00,10,10,2001,12,830.73
10.10.2001-15:00:00,10,10,2001,15,670.74
10.10.2001-18:00:00,10,10,2001,18,644.78
10.10.2001-21:00:00,10,10,2001,21,640.58
10.11.2001-00:00:00,10,11,2001,00,638.65
10.11.2001-03:00:00,10,11,2001,03,638.02
10.11.2001-06:00:00,10,11,2001,06,637.65
10.11.2001-09:00:00,10,11,2001,09,686
10.11.2001-12:00:00,10,11,2001,12,836.7
10.11.2001-15:00:00,10,11,2001,15,742.79
10.11.2001-18:00:00,10,11,2001,18,658.31
10.11.2001-21:00:00,10,11,2001,21,643.04
10.12.2001-00:00:00,10,12,2001,00,641.09
10.12.2001-03:00:00,10,12,2001,03,640.69
10.12.2001-06:00:00,10,12,2001,06,640.42
10.12.2001-09:00:00,10,12,2001,09,680.63
10.12.2001-12:00:00,10,12,2001,12,832.44
10.12.2001-15:00:00,10,12,2001,15,770.2
10.12.2001-18:00:00,10,12,2001,18,699.4
10.12.2001-21:00:00,10,12,2001,21,674.94
10.13.2001-00:00:00,10,13,2001,00,667.67
10.13.2001-03:00:00,10,13,2001,03,665.57
10.13.2001-06:00:00,10,13,2001,06,693.55
10.13.2001-09:00:00,10,13,2001,09,846.11
10.13.2001-12:00:00,10,13,2001,12,843.49
10.13.2001-15:00:00,10,13,2001,15,720.31
10.13.2001-18:00:00,10,13,2001,18,682.06
10.13.2001-21:00:00,10,13,2001,21,662.96
10.14.2001-00:00:00,10,14,2001,00,656.32
10.14.2001-03:00:00,10,14,2001,03,652.97
10.14.2001-06:00:00,10,14,2001,06,651.46
10.14.2001-09:00:00,10,14,2001,09,661.99
10.14.2001-12:00:00,10,14,2001,12,610.32
10.14.2001-15:00:00,10,14,2001,15,610.81
10.14.2001-18:00:00,10,14,2001,18,635.19
10.14.2001-21:00:00,10,14,2001,21,638.33
10.15.2001-00:00:00,10,15,2001,00,642.72
10.15.2001-03:00:00,10,15,2001,03,643.54
10.15.2001-06:00:00,10,15,2001,06,643.25
10.15.2001-09:00:00,10,15,2001,09,634.47
10.15.2001-12:00:00,10,15,2001,12,583.8
10.15.2001-15:00:00,10,15,2001,15,603.97
10.15.2001-18:00:00,10,15,2001,18,628.09
10.15.2001-21:00:00,10,15,2001,21,631.35
10.16.2001-00:00:00,10,16,2001,00,634.81
10.16.2001-03:00:00,10,16,2001,03,637.11
10.16.2001-06:00:00,10,16,2001,06,637.65
10.16.2001-09:00:00,10,16,2001,09,593.42
10.16.2001-12:00:00,10,16,2001,12,568.86
10.16.2001-15:00:00,10,16,2001,15,594.97
10.16.2001-18:00:00,10,16,2001,18,621.23
10.16.2001-21:00:00,10,16,2001,21,623.16
10.17.2001-00:00:00,10,17,2001,00,625.15
10.17.2001-03:00:00,10,17,2001,03,627.66
10.17.2001-06:00:00,10,17,2001,06,629.36
10.17.2001-09:00:00,10,17,2001,09,605.76
10.17.2001-12:00:00,10,17,2001,12,594.75
10.17.2001-15:00:00,10,17,2001,15,608.2
10.17.2001-18:00:00,10,17,2001,18,622.02
10.17.2001-21:00:00,10,17,2001,21,624.74
10.18.2001-00:00:00,10,18,2001,00,626.33
10.18.2001-03:00:00,10,18,2001,03,626.59
10.18.2001-06:00:00,10,18,2001,06,625.56
10.18.2001-09:00:00,10,18,2001,09,578.67
