FID,ppt_ID,strmMap_id,upSlp_acre,wshed_name,imputed_sm,imputedPpt,base_fc
0,39,16,940, ,0,0,0.0000000
1,50,17,405, ,0,0,0.0000000
2,43,159,928,Upper Methow,30159,43,12.0000000
3,61,192,1236,Upper Methow,30192,61,6.3398099
4,81,49,456, ,31510,977,19.0417004
5,56,46,2342, ,32926,2074,15.9932003
6,55,31,2084, ,30368,209,21.4030991
7,67,30,765, ,32958,2241,28.5489998
8,62,189,1988,Upper Methow,10114,3957,13.5070000
9,74,190,2081,Upper Methow,30190,74,11.9884996
10,89,225,4327,Upper Methow,30225,89,13.6472998
11,86,238,757,Upper Methow,30238,86,11.1452999
12,76,77,966, ,32699,1712,20.1501007
13,101,9999,360, ,30345,211,19.3694000
14,102,9999,489, ,31091,499,11.9755001
15,91,242,5253,Upper Methow,30242,91,13.2981005
16,105,266,7886,Upper Methow,30266,105,19.1072998
17,83,71,3316, ,30402,227,20.1625004
18,92,72,2640, ,31542,656,22.8446999
19,110,8,298, ,32694,1797,35.1408997
20,113,7,350, ,30698,443,18.3085995
21,114,306,1454,Upper Methow,30306,114,18.7056007
22,119,360,6288,Upper Methow,30360,119,19.4316006
23,116,10,704, ,31860,1176,27.0795002
24,122,14,1283, ,32935,2238,14.7311001
25,118,63,451, ,32801,1946,33.1463013
26,121,9999,413, ,30481,226,28.0265999
27,109,64,1062, ,32943,2003,20.0000000
28,127,21,2129, ,32635,1776,20.8782997
29,88,56,923, ,32463,1576,31.2350998
30,130,55,512, ,32381,1610,34.9315987
31,106,276,13872,Upper Methow,30276,106,17.4874001
32,129,275,443,Upper Methow,30275,129,28.0000000
33,132,32,2762, ,32464,1606,23.2313995
34,152,36,945, ,32023,1231,14.0296001
35,115,47,893, ,32463,1576,18.7660007
36,136,48,5248, ,32454,1555,23.0653992
37,137,291,14554,Upper Methow,30276,106,18.1201992
38,148,370,530,Upper Methow,30370,148,21.0396004
39,140,214,579,Upper Methow,30214,140,18.8393993
40,150,213,588,Upper Methow,30213,150,23.3519993
41,87,79,3951, ,31893,1098,30.4962997
42,134,78,1757, ,32256,1418,35.0443993
43,158,0,380, ,10037,3681,25.8316002
44,147,313,15873,Upper Methow,30313,147,19.0566998
45,107,108,7515, ,31612,975,25.4165993
46,161,412,3139,Upper Methow,30412,161,19.3801003
47,162,131,1299, ,0,0,0.0000000
48,159,57,963, ,32023,1231,25.0259991
49,165,74,361, ,30698,443,7.9778399
50,160,323,19115,Upper Methow,30323,160,19.3113003
51,95,322,1845,Upper Methow,30322,95,29.0314007
52,163,118,8917, ,31647,1128,24.1431999
53,170,141,892, ,30159,43,23.0258007
54,145,87,7097, ,10348,5040,24.2717991
55,164,88,3077, ,32415,1607,29.2896004
56,182,442,1513,Upper Methow,30306,114,11.0257998
57,131,98,2012, ,10114,3957,29.3493996
58,154,103,6088, ,32834,1993,32.4510002
59,183,448,2694,Upper Methow,30448,183,25.2649994
60,175,443,517,Upper Methow,30443,175,0.0000000
61,187,479,873,Upper Methow,30479,187,13.7297001
62,171,0,1096, ,10050,3698,25.4015007
63,189,503,1863,Upper Methow,30503,189,24.0643997
64,190,531,713,Upper Methow,30531,190,0.0000000
65,186,94,347, ,30698,443,43.0000000
66,178,93,10527, ,10234,4664,26.3250008
67,172,102,12505, ,32860,2089,25.1105995
68,199,0,624, ,10240,4732,6.0096202
69,151,165,1206, ,30697,386,3.0820899
70,174,9999,981, ,20241,4906,5.1427102
71,188,105,20810, ,32124,1209,27.6977005
72,194,0,429, ,10094,3781,0.9976690
73,196,140,1052, ,32695,1890,16.0303993
74,197,0,686, ,10040,3697,6.0262399
75,195,113,22031, ,31837,989,27.2331009
76,191,112,10895, ,10234,4664,26.8862991
77,198,0,1251, ,10212,4503,3.7562001
78,202,0,963, ,10019,3501,1.9958500
79,204,444,351,Upper Methow,30345,211,12.0341997
80,181,283,559,Upper Methow,30283,181,15.0000000
81,206,480,2271,Upper Methow,30480,206,14.6829996
82,205,293,421,Upper Methow,30293,205,29.0000000
83,157,347,1027,Upper Methow,30347,157,20.7205009
84,153,346,2653,Upper Methow,30346,153,24.9811993
85,207,392,1117,Upper Methow,30392,207,21.6257992
86,211,345,359,Upper Methow,30345,211,20.0000000
87,146,0,1470, ,20427,5491,46.0570984
88,176,0,977, ,10019,3501,40.8188019
89,126,0,3270, ,10489,5546,28.2483006
90,216,0,2514, ,32374,1550,43.9832993
91,221,0,345, ,10037,3681,13.0376997
92,222,0,2689, ,10374,5121,25.9234009
93,166,405,1165,Upper Methow,30405,166,42.0000000
94,223,407,9516,Upper Methow,30407,223,28.2287006
95,169,428,21912,Upper Methow,30428,169,21.1096992
96,217,432,11412,Upper Methow,30432,217,30.3244991
97,237,408,9055,Upper Methow,30408,237,27.7784004
98,209,368,2047,Upper Methow,30368,209,22.5608006
99,173,0,1769, ,32256,1418,3.0000000
100,226,481,415,Upper Methow,30481,226,36.0867004
101,228,403,749,Upper Methow,30403,228,22.0293999
102,229,0,379, ,20235,4891,2.0000000
103,220,0,3176, ,20088,4075,24.3381996
104,210,0,2719, ,20009,3647,16.3897991
105,193,218,3157, ,32044,916,3.6971800
106,224,217,385, ,20235,4891,7.0000000
107,234,527,1519,Upper Methow,30527,234,8.8327799
108,235,533,376,Upper Methow,30533,235,15.0000000
109,236,0,1149, ,32597,1810,21.5482998
110,238,0,1503, ,10180,4316,29.9062004
111,208,397,4090,Upper Methow,30397,208,26.2187996
112,239,401,4437,Upper Methow,30401,239,26.9179993
113,200,295,903, ,30159,43,5.1882601
114,213,294,569, ,0,0,0.0000000
115,242,445,467,Upper Methow,30435,250,32.0000000
116,243,410,3935,Upper Methow,30410,243,26.0294991
117,227,402,3378,Upper Methow,30402,227,24.2416000
118,250,435,455,Upper Methow,30435,250,34.1495018
119,241,9999,1536, ,20253,4964,5.0820298
120,244,334,1380, ,32849,1869,7.0050702
121,203,0,2995, ,20088,4075,2.2106800
122,255,0,454, ,0,0,0.0000000
123,261,590,506,Upper Methow,30590,261,7.0276699
124,262,588,442,Upper Methow,30588,262,3.0000000
125,231,0,6189, ,10079,3782,20.4976997
126,230,0,2963, ,32415,1607,2.0469100
127,192,0,902, ,32463,1576,0.9988910
128,269,0,1311, ,10020,3534,24.0182991
129,240,149,648, ,32757,2022,6.0000000
130,219,150,2059, ,32635,1776,3.0000000
131,251,664,941,Upper Methow,30159,43,13.7184000
132,254,663,1778,Upper Methow,30663,254,0.0000000
133,263,0,419, ,30481,226,25.4153004
134,268,0,498, ,31868,1135,35.9277000
135,218,0,6425, ,10204,4498,36.5597000
136,270,0,2825, ,32464,1606,25.0000000
137,232,248,4309, ,32885,1940,4.4021802
138,246,0,776, ,32577,1718,32.0825005
139,212,255,2532, ,0,0,0.0000000
140,258,203,457, ,31510,977,5.0000000
141,278,0,352, ,32298,1492,44.1250000
142,279,211,348, ,20235,4891,7.0000000
143,275,212,1600, ,20253,4964,11.1462002
144,252,354,3677, ,30758,376,5.7867799
145,257,353,522, ,31377,657,5.0287399
146,282,231,1097, ,32943,2003,10.0181999
147,276,0,365, ,0,0,0.0000000
148,277,0,1289, ,32734,1885,37.9426003
149,259,0,205615, ,32352,1499,29.9204998
150,201,182,35122, ,10169,4232,27.4841995
151,266,187,3625, ,10067,3693,4.8024802
152,264,0,4215, ,31893,1098,1.9017800
153,292,0,411, ,30481,226,6.0000000
154,233,0,1170, ,32654,1849,3.0025599
155,247,0,214196, ,32352,1499,28.8689995
156,297,0,516, ,10147,4127,2.0000000
157,296,0,407, ,10094,3781,28.0000000
158,265,0,8040, ,10090,3714,20.0301991
159,302,0,214875, ,32352,1499,28.7826004
160,305,0,387, ,10037,3681,0.9974160
161,300,0,377, ,10037,3681,0.0000000
162,310,0,217286, ,32352,1499,28.4650002
163,289,0,562, ,32735,1963,6.0000000
164,312,0,928, ,10150,4033,33.0355988
165,245,0,712, ,32577,1718,42.0000000
166,286,0,2232, ,32912,2202,42.0644989
167,303,0,8554, ,10379,5152,20.2332001
168,318,0,564, ,10072,3752,24.0000000
169,313,0,1559, ,10160,4136,23.1994991
170,317,0,406, ,10094,3781,49.8768005
171,274,324,7927, ,32909,2072,4.7797399
172,327,348,416, ,31413,655,9.0000000
173,314,0,3013, ,20088,4075,42.3684006
174,316,770,998,Upper Methow,30770,316,12.6372995
175,267,766,3792,Upper Methow,30766,267,14.9772997
176,337,0,732, ,32577,1718,52.0709991
177,291,228,39296, ,10220,4494,25.2038002
178,283,233,3577, ,10489,5546,9.0285196
179,319,0,2717, ,20009,3647,30.4776993
180,339,0,543, ,32735,1963,49.0000000
181,334,467,529, ,32593,1532,5.0000000
182,340,477,1065, ,30392,207,3.0000000
183,284,417,5343, ,32910,2012,5.7550101
184,304,0,919, ,10150,4033,37.0402985
185,345,488,6553, ,31620,772,3.7640800
186,271,0,9900, ,10107,3923,33.6969986
187,332,0,3894, ,10067,3693,44.4334984
188,335,0,481, ,10339,5063,40.9147987
189,294,706,1055,Upper Methow,30706,294,17.0000000
190,330,555,693,Upper Methow,30555,330,17.0244999
191,329,272,511, ,32381,1610,17.0000000
192,344,707,1416,Upper Methow,30707,344,15.0000000
193,352,573,2895,Upper Methow,30573,352,23.9281998
194,342,469,1902, ,31943,919,3.5578301
195,309,463,800, ,32705,1811,4.0050001
196,353,304,1701, ,32256,1418,13.0000000
197,299,0,856, ,10122,3993,3.0035000
198,341,0,9743, ,10107,3923,19.4099007
199,331,632,731,Upper Methow,30632,331,0.0000000
200,225,631,36610,Upper Methow,30631,225,25.2297993
201,355,0,570, ,10072,3752,22.9596996
202,359,0,387, ,30698,443,21.1627998
203,364,0,693, ,0,0,0.0000000
204,354,489,2869, ,32330,1248,3.7096601
205,365,0,489, ,32381,1610,19.0389004
206,368,536,2863, ,30573,352,3.1732399
207,336,265,43390, ,10271,4634,23.8087997
208,369,0,350, ,30698,443,22.0000000
209,363,264,718, ,32577,1718,13.0180998
210,366,0,944, ,32023,1231,20.5720005
211,328,386,9027, ,32907,2073,5.1424599
212,356,277,3001, ,32415,1607,11.3135996
213,371,391,785, ,32705,1811,5.9923601
214,373,355,781, ,32496,1656,4.0000000
215,374,578,1940,Upper Methow,30322,95,21.0107994
216,351,737,3020,Upper Methow,30737,351,19.3460007
217,357,736,573,Upper Methow,30736,357,0.0000000
218,375,633,396,Upper Methow,30633,375,27.0681992
219,348,0,14255, ,30276,106,36.8660011
220,378,0,192488, ,32089,1262,30.8271008
221,295,0,7145, ,10348,5040,7.9914598
222,338,0,3672, ,10067,3693,34.7220001
223,381,0,1590, ,30728,440,25.4622993
224,376,758,3756,Upper Methow,30758,376,18.9617004
225,367,680,540,Upper Methow,30680,367,5.9888902
226,383,805,583,Upper Methow,30805,383,18.9673996
227,385,727,362,Upper Methow,30533,235,13.0359001
228,377,0,10918, ,10234,4664,17.9655991
229,387,0,5849, ,10079,3782,10.5567999
230,311,0,219057, ,32352,1499,28.2411995
231,362,0,3543, ,10432,5421,11.2693005
232,389,0,912, ,10150,4033,15.0000000
233,358,674,37881,Upper Methow,30631,225,24.8176003
234,386,697,1251,Upper Methow,30697,386,11.3788996
235,370,288,44449, ,10271,4634,23.6035995
236,390,0,4511, ,20107,4153,11.9083996
237,394,579,538, ,30680,367,3.0055799
238,392,297,4380, ,20107,4153,9.0100498
239,399,0,964, ,10019,3501,6.0124502
240,402,562,1823, ,31088,572,3.0016501
241,372,419,10328, ,32395,1285,5.1994600
242,350,420,1430, ,20427,5491,6.0042000
243,346,496,13211, ,32448,1462,4.5939698
244,287,495,1481, ,0,0,0.0000000
245,382,0,9347, ,10107,3923,13.7193003
246,405,510,14819, ,30276,106,4.6701498
247,410,0,496, ,31868,1135,48.0000000
248,406,0,367, ,10037,3681,1.0000000
249,412,556,830, ,32705,1811,9.0000000
250,388,0,225189, ,32171,1393,27.7514000
251,416,900,5971,Upper Methow,30900,416,20.6819992
252,333,886,6312,Upper Methow,30360,119,17.5233994
253,422,943,4940,Upper Methow,30943,422,19.3532009
254,423,964,653,Upper Methow,30964,423,21.0000000
255,403,465,12351, ,32879,2094,5.1877599
256,427,464,364, ,20235,4891,1.0027500
257,398,0,1245, ,32597,1810,49.0000000
258,379,0,18209, ,20108,4143,36.5699997
259,391,944,723,Upper Methow,30944,391,12.7302999
260,404,0,576, ,32735,1963,53.0000000
261,434,983,3742,Upper Methow,30983,434,18.8829002
262,393,756,39552,Upper Methow,30756,393,24.4785995
263,343,0,2209, ,10412,5440,22.0198994
264,430,773,1081,Upper Methow,30773,430,11.0000000
265,438,0,189588, ,32089,1262,31.0202007
266,349,729,5706,Upper Methow,30729,349,26.0858994
267,414,0,225878, ,32171,1393,27.6727009
268,440,728,1563,Upper Methow,30728,440,31.9993992
269,424,0,554, ,32735,1963,25.0000000
270,446,0,573, ,10072,3752,9.9825497
271,396,0,1111, ,10050,3698,40.0000000
272,442,0,382, ,10037,3681,5.0000000
273,443,698,355,Upper Methow,30698,443,26.5126991
274,450,9999,348,Upper Methow,30698,443,21.0603008
275,323,281,1799, ,32256,1418,2.9966600
276,451,723,400,Upper Methow,30723,451,35.4449997
277,431,280,734, ,32577,1718,5.0136199
278,441,0,443, ,10339,5063,29.9323006
279,425,984,697,Upper Methow,30984,425,0.0000000
280,433,0,20192, ,31281,602,37.9000015
281,455,0,1451, ,10180,4316,51.0000000
282,459,1010,2498,Upper Methow,31010,459,19.3463001
283,411,0,10284, ,10234,4664,16.6669006
284,453,0,480, ,0,0,0.0000000
285,461,0,368, ,0,0,0.0000000
286,463,0,188915, ,32089,1262,31.0986996
287,456,0,21822, ,31281,602,38.8479004
288,395,0,911, ,10150,4033,44.0000000
289,448,0,1916, ,10114,3957,35.0078011
290,426,0,534, ,32735,1963,23.0000000
291,471,0,451, ,10339,5063,46.8958015
292,436,321,833, ,10122,3993,3.0035999
293,452,320,2664, ,32374,1550,3.4542000
294,444,0,1054, ,10050,3698,10.9896002
295,419,959,13673,Upper Methow,30959,419,19.2577000
296,401,958,950,Upper Methow,30958,401,4.9947400
297,478,0,808, ,10122,3993,33.0000000
298,384,875,6192,Upper Methow,30875,384,20.4699993
299,476,874,511,Upper Methow,30874,476,12.0000000
300,482,330,1207, ,32597,1810,11.1184998
301,464,0,22958, ,20113,4227,39.0716019
302,485,0,351, ,0,0,0.0000000
303,474,893,377,Upper Methow,30893,474,0.0000000
304,488,927,355,Upper Methow,30927,488,13.0000000
305,445,806,7871,Upper Methow,30806,445,28.4008007
306,491,823,1275,Upper Methow,30823,491,25.0195999
307,462,0,228094, ,32171,1393,27.4710007
308,499,1091,500,Upper Methow,31091,499,12.0240002
309,500,1092,1139,Upper Methow,30773,430,15.0000000
310,437,830,41253,Upper Methow,30756,393,24.1639004
311,490,829,9218,Upper Methow,30408,237,28.0316010
312,460,0,11098, ,10234,4664,18.2786007
313,480,0,759, ,32577,1718,48.0000000
314,492,0,386, ,32298,1492,7.2357502
315,493,0,436, ,10094,3781,13.5068998
316,481,903,7016,Upper Methow,30903,481,20.3719997
317,511,426,988, ,32023,1231,5.0000000
318,397,425,50610, ,10387,4792,21.8619003
319,487,904,1306,Upper Methow,30904,487,13.1309004
320,504,0,11894, ,10244,4690,20.2458992
321,515,0,2462, ,10374,5121,38.2957001
322,428,564,14259, ,30959,419,4.7354698
323,498,563,526, ,32381,1610,2.0037999
324,521,0,463, ,0,0,0.0000000
325,465,0,931, ,10150,4033,18.0000000
326,517,0,403, ,10094,3781,4.9875898
327,524,0,2440, ,20284,4889,18.7544994
328,522,1192,399,Upper Methow,31192,522,0.0000000
329,475,1163,639,Upper Methow,31163,475,19.5210991
330,472,0,3353, ,10432,5421,32.9385986
331,473,0,1376, ,32734,1885,22.5058002
332,466,0,880, ,10150,4033,40.0000000
333,413,611,17657, ,31077,479,5.2519102
334,484,381,4972, ,10078,3617,5.2051501
335,486,0,23931, ,20113,4227,39.4105988
336,483,617,633, ,0,0,0.0000000
337,528,415,1138, ,10050,3698,4.0000000
338,497,612,706, ,31860,1176,4.0453300
339,514,0,14986, ,10127,3958,23.9550991
340,495,0,526, ,31868,1135,41.0000000
341,538,0,39207, ,10220,4494,13.3556004
342,536,658,1404, ,30527,234,6.0042701
343,533,625,19056, ,30323,160,5.3810301
344,540,461,444, ,10339,5063,3.0067599
345,513,460,51963, ,31003,501,21.4508991
346,546,0,35939, ,10192,4328,13.2256002
347,534,0,38134, ,10192,4328,13.2042999
348,489,0,1085, ,10050,3698,1.0202800
349,526,0,584, ,0,0,0.0000000
350,550,0,937, ,10150,4033,20.0000000
351,551,0,964, ,0,0,0.0000000
352,552,0,1087, ,10050,3698,34.6164017
353,553,0,34786, ,10169,4232,13.6302004
354,260,436,3712, ,10067,3693,6.0016198
355,557,437,7679, ,10090,3714,5.0576901
356,527,1215,1374,Upper Methow,31215,527,20.5284004
357,532,433,7087, ,10348,5040,4.5700598
358,558,1229,450,Upper Methow,31229,558,31.0688992
359,560,459,380, ,32298,1492,12.0000000
360,563,0,385, ,32298,1492,38.0987015
361,564,0,526, ,31868,1135,31.9391994
362,537,0,16588, ,10130,4034,25.4066010
363,530,0,25352, ,20118,4242,39.6783981
364,347,0,4322, ,10049,3446,12.4294004
365,519,814,758, ,31426,687,22.9696999
366,565,0,441, ,10339,5063,52.1179008
367,506,815,2055, ,31248,559,21.9785995
368,562,0,1121, ,10050,3698,39.8930016
369,529,0,5501, ,10069,3770,28.5205002
370,479,1077,16550,Upper Methow,31077,479,18.2936993
371,572,1088,1768,Upper Methow,31088,572,14.0000000
372,559,1248,2183,Upper Methow,31248,559,23.9298992
373,576,1303,402,Upper Methow,31303,576,32.0000000
374,468,0,425, ,10094,3781,23.1623993
375,561,0,951, ,10019,3501,42.9547997
376,567,0,29776, ,10159,4169,39.6869011
377,470,585,1466, ,20427,5491,2.0000000
378,571,584,565, ,32717,1887,1.0000000
379,542,746,949, ,20241,4906,4.9947300
380,508,0,1901, ,10114,3957,6.8437700
381,575,751,400, ,20235,4891,5.0000000
382,579,0,393, ,32298,1492,0.0000000
383,525,0,3561, ,10432,5421,16.2378998
384,588,0,581, ,10072,3752,26.0447998
385,583,0,2321, ,32912,2202,5.6169801
386,535,0,39607, ,10220,4494,13.4321003
387,569,0,686, ,10040,3697,19.0000000
388,595,0,31194, ,10159,4169,14.6595001
389,600,0,1323, ,32734,1885,30.0226994
390,601,0,29811, ,10159,4169,14.0072002
391,573,1112,18553,Upper Methow,31112,573,18.0328007
392,578,1111,561,Upper Methow,31111,578,21.0000000
393,592,0,2006, ,10114,3957,1.3539400
394,598,0,570, ,10072,3752,7.0000000
395,605,0,27739, ,10142,4077,14.9328003
396,549,0,1047, ,10050,3698,2.0324700
397,582,775,1595, ,20253,4964,5.7680202
398,544,529,53105, ,31003,501,21.1739006
399,606,9999,15450, ,10127,3958,9.0058899
400,603,776,497, ,30590,261,6.0120702
401,596,0,587, ,32471,1654,1.0017000
402,555,551,1403, ,20427,5491,3.0021400
403,556,530,12120, ,10244,4690,6.3039598
404,599,0,401, ,10094,3781,2.0199499
405,610,0,347, ,32298,1492,17.9480991
406,638,565,3310, ,10432,5421,18.8328991
407,580,0,31153, ,10159,4169,39.6825981
408,591,0,972, ,0,0,0.0000000
409,501,1003,52863,Upper Methow,31003,501,24.8761997
410,615,1029,3856,Upper Methow,31029,615,25.9309998
411,570,0,7155, ,10348,5040,29.2971001
412,593,0,528, ,10147,4127,19.9620991
413,590,0,458, ,10339,5063,2.9934499
414,617,0,703, ,10040,3697,2.0000000
415,516,0,230528, ,32171,1393,27.2698994
416,620,0,2276, ,32912,2202,3.1458700
417,621,0,25160, ,20118,4242,16.0704994
418,622,0,439, ,10094,3781,17.9589996
419,543,650,971, ,32023,1231,2.0000000
420,581,649,2751, ,32464,1606,2.0563400
421,624,0,41722, ,10220,4494,13.5052004
422,613,1052,57385,Upper Methow,31052,613,24.7978001
423,607,1019,3157,Upper Methow,31019,607,24.5879002
424,628,1123,3249,Upper Methow,31019,607,26.3306007
425,629,1053,583,Upper Methow,31053,629,28.0000000
426,630,0,508, ,10147,4127,30.1180992
427,594,0,41203, ,10220,4494,13.5369997
428,633,0,388, ,10037,3681,30.9200993
429,641,1044,1097,Upper Methow,31044,641,22.0000000
430,632,987,565,Upper Methow,30987,632,10.0000000
431,625,0,488, ,31868,1135,0.0000000
432,642,0,713, ,32577,1718,42.0588989
433,618,0,7782, ,10090,3714,28.3682003
434,577,1316,4125,Upper Methow,30397,208,26.2630005
435,645,0,1448, ,10180,4316,4.0027599
436,646,1404,406,Upper Methow,31404,646,0.0000000
437,648,0,451, ,10339,5063,33.9245987
438,650,0,618, ,32471,1654,20.0000000
439,614,0,32569, ,10169,4232,39.4145012
440,631,0,1470, ,10180,4316,2.0993199
441,612,0,1092, ,10050,3698,6.4450598
442,597,1393,1218,Upper Methow,31393,597,5.3119898
443,520,0,1499, ,10180,4316,8.0000000
444,660,0,1273, ,32734,1885,19.0597000
445,655,1413,439,Upper Methow,31413,655,23.8383007
446,658,0,736, ,10163,4168,18.9741993
447,584,0,859, ,10150,4033,7.0814900
448,654,0,2405, ,32912,2202,13.5239000
449,611,593,70340, ,10366,5079,18.1196995
450,699,614,4972, ,10078,3617,19.2737007
451,623,0,272723, ,32598,1784,25.1341991
452,541,878,1214, ,30405,166,32.0264015
453,554,877,1406, ,32791,1671,30.9780006
454,539,783,22692, ,30428,169,6.0706401
455,643,560,654, ,32757,2022,18.0000000
456,651,784,3916, ,31543,718,7.3066902
457,668,586,1706, ,10071,3760,12.3768997
458,512,1144,10898,Upper Methow,31144,512,19.6546001
459,670,620,346, ,32298,1492,7.0000000
460,661,627,75944, ,20359,5196,18.2612000
461,627,1143,61347,Upper Methow,31052,613,24.9515991
462,674,0,4541, ,20107,4153,7.5016499
463,671,0,348, ,10037,3681,4.0114899
464,636,0,178284, ,31894,1155,32.2893982
465,659,0,3477, ,10432,5421,11.1037998
466,678,0,4973, ,10078,3617,7.1307101
467,666,0,594, ,32513,1764,26.0438004
468,681,0,2038, ,10412,5440,33.2089996
469,682,0,22612, ,20113,4227,14.3030996
470,683,0,353, ,32298,1492,1.0000000
471,694,0,2591, ,0,0,0.0000000
472,673,651,76580, ,20359,5196,18.2430992
473,687,1426,753,Upper Methow,31426,687,25.0000000
474,647,1367,5090,Upper Methow,31367,647,25.8579998
475,672,1188,72346,Upper Methow,31188,672,24.1550999
476,689,685,957, ,10019,3501,7.0000000
477,693,1224,2243,Upper Methow,31224,693,41.0182991
478,657,1377,500,Upper Methow,31377,657,3.0000000
479,634,0,1094, ,10050,3698,21.0000000
480,690,1378,5906,Upper Methow,30875,384,25.8460999
481,696,0,177053, ,31894,1155,32.3139000
482,698,0,1102, ,10050,3698,30.9719009
483,662,0,515, ,31868,1135,10.0000000
484,675,0,384, ,0,0,0.0000000
485,518,763,17465, ,32140,1198,5.3075900
486,701,0,1040, ,10050,3698,3.4817300
487,702,0,176482, ,31894,1155,32.3776016
488,663,1237,538,Upper Methow,31237,663,11.0000000
489,691,1236,75151,Upper Methow,31188,672,24.7171001
490,626,762,4178, ,31893,1098,4.0016799
491,676,700,393, ,32298,1492,6.0000000
492,708,701,78770, ,20359,5196,18.0655994
493,688,690,78164, ,20359,5196,18.1033993
494,700,730,79420, ,20359,5196,18.0030994
495,707,747,478, ,10339,5063,12.9728003
496,602,1281,21050,Upper Methow,31281,602,19.1191006
497,703,1282,382,Upper Methow,31282,703,9.0000000
498,888,833,2594, ,0,0,0.0000000
499,652,0,33722, ,10169,4232,38.7811012
500,705,0,44574, ,10271,4634,27.9640999
501,616,0,976, ,10019,3501,35.0000000
502,711,0,78572, ,20359,5196,32.5505981
503,713,0,492, ,31868,1135,2.0000000
504,714,0,459, ,10339,5063,4.0000000
505,684,1012,609, ,31163,475,13.0000000
506,685,897,1362, ,32849,1869,24.0000000
507,717,785,85185, ,10404,5384,18.1921005
508,719,1021,685, ,30555,330,7.0102201
509,720,940,403, ,31303,576,33.0819016
510,709,769,82905, ,20359,5196,17.9708004
511,723,0,21235, ,31281,602,13.2104998
512,692,1538,402,Upper Methow,31538,692,11.5199003
513,724,0,1099, ,10050,3698,35.0000000
514,725,797,1663, ,30728,440,25.9536991
515,669,0,618, ,32471,1654,39.0630989
516,726,1549,2361,Upper Methow,31549,726,26.0568008
517,728,0,17111, ,10130,4034,21.5757008
518,710,1317,21629,Upper Methow,31281,602,18.9939995
519,732,0,42272, ,10220,4494,26.5230007
520,677,0,278370, ,32598,1784,24.7873993
521,731,1637,723,Upper Methow,31426,687,22.3651009
522,734,1371,545,Upper Methow,31111,578,21.0384998
523,736,0,1116, ,10050,3698,60.1083984
524,738,1606,880,Upper Methow,31606,738,30.9647999
525,697,0,2784, ,20009,3647,8.4392996
526,679,0,4414, ,20107,4153,8.8749399
527,706,1283,76306,Upper Methow,31283,706,24.5905991
528,739,0,8478, ,10379,5152,21.6903992
529,566,0,20284, ,31281,602,27.3680000
530,747,0,539, ,32735,1963,0.9981450
531,741,1300,666,Upper Methow,31300,741,41.0000000
532,619,0,1826, ,10071,3760,32.0175018
533,742,0,13976, ,30276,106,20.3696995
534,743,0,21868, ,31281,602,25.6191006
535,744,1216,1393,Upper Methow,30306,114,19.5018005
536,727,615,444, ,10339,5063,4.0090098
537,729,0,12074, ,10244,4690,18.5972004
538,745,0,2781, ,20009,3647,25.4181995
539,746,0,20683, ,31281,602,12.8788004
540,748,1373,947,Upper Methow,31373,748,30.9673004
541,749,653,397, ,32298,1492,3.0000000
542,712,0,80315, ,20359,5196,32.5368996
543,750,0,377, ,32298,1492,31.0000000
544,752,1030,1538, ,20253,4964,15.3796997
545,568,1013,5619, ,30729,349,30.1333008
546,753,677,597, ,32471,1654,9.0000000
547,755,667,3220, ,20088,4075,19.1322994
548,756,0,1610, ,0,0,0.0000000
549,649,0,9893, ,10107,3923,27.3708000
550,762,0,524, ,10147,4127,28.0534000
551,730,0,529, ,10147,4127,17.9319000
552,758,0,952, ,10019,3501,36.0377998
553,759,0,494, ,31868,1135,34.0000000
554,760,0,734, ,32577,1718,58.0000000
555,761,0,354, ,32298,1492,63.8191986
556,716,0,19441, ,20108,4143,23.0494995
557,686,0,3946, ,10049,3446,29.8087006
558,769,693,2834, ,20009,3647,18.0088005
559,765,668,364, ,32298,1492,27.0741997
560,770,0,1205, ,32597,1810,47.0779991
561,767,0,20698, ,31281,602,24.4267998
562,718,1543,3839,Upper Methow,30758,376,18.6340008
563,656,1542,2459,Upper Methow,31542,656,8.1899099
564,768,0,174698, ,31894,1155,32.6122017
565,773,0,668, ,0,0,0.0000000
566,774,0,416, ,10094,3781,14.0000000
567,721,922,2570, ,31542,656,20.7222004
568,776,1218,505,Upper Methow,31194,788,12.0237999
569,777,992,358, ,0,0,0.0000000
570,779,1302,729,Upper Methow,31302,779,22.0000000
571,695,1436,7593,Upper Methow,30903,481,23.8966999
572,781,1458,495,Upper Methow,30370,148,20.9575996
573,757,0,10464, ,10234,4664,27.2819996
574,787,0,164016, ,31742,1031,32.9907990
575,784,1451,8213,Upper Methow,30806,445,23.8582001
576,608,1450,1958,Upper Methow,20055,3818,12.0000000
577,775,928,3273, ,30402,227,17.9801006
578,790,996,874, ,32463,1576,8.0183096
579,791,0,1440, ,10180,4316,36.0499992
580,792,0,18832, ,20108,4143,11.1043997
581,786,0,526, ,31868,1135,20.0380001
582,793,732,1227, ,32597,1810,29.0317993
583,785,712,1435, ,10180,4316,7.0048800
584,794,0,7482, ,10348,5040,20.3992004
585,722,871,108337, ,10492,5643,15.7038002
586,798,919,667, ,0,0,0.0000000
587,735,1384,22878,Upper Methow,31384,735,19.1035004
588,740,1383,77695,Upper Methow,31283,706,24.7901001
589,737,0,5298, ,10069,3770,7.5609698
590,803,0,13251, ,10108,3808,12.2687998
