FID,ppt_ID,strmMap_id,upSlp_acre,wshed_name,imputed_sm,imputedPpt,base_fc
1771,2044,2746,816,Upper Methow,32746,2044,0.0000000
1772,1993,2834,6054,Upper Methow,32834,1993,31.1254005
1773,2087,0,397, ,0,0,0.0000000
1774,2088,0,87168, ,10404,5384,17.1905994
1775,2089,2860,12984,Upper Methow,32860,2089,25.6245003
1776,2053,0,10383, ,10234,4664,27.1478004
1777,2067,0,580, ,10072,3752,10.9809999
1778,2095,2875,12042,Upper Methow,32875,2095,23.2483006
1779,1987,2669,1901, ,10114,3957,8.0789099
1780,2096,0,86434, ,10404,5384,17.2700005
1781,2097,2918,457,Upper Methow,32918,2097,55.8774986
1782,2052,2668,322304, ,0,0,19.7189007
1783,2099,0,452, ,0,0,0.0000000
1784,2094,2879,11438,Upper Methow,32875,2095,21.5755997
1785,2045,2671,480, ,10339,5063,11.0228996
1786,2101,2883,474,Upper Methow,32883,2101,56.0000000
1787,2102,2670,515, ,31868,1135,7.1223302
1788,2092,0,567, ,10072,3752,1.0017600
1789,2093,0,630, ,10240,4732,4.0000000
1790,2026,0,25459, ,20118,4242,30.3668995
1791,2105,0,347, ,32047,1371,27.0000000
1792,2059,0,586324, ,0,0,18.0435009
1793,2078,0,103477, ,10492,5643,25.6956997
1794,2058,0,1142, ,10212,4503,1.0008800
1795,2114,0,5311, ,10069,3770,10.9619999
1796,2115,0,80904, ,20359,5196,17.7185993
1797,2111,0,471, ,0,0,0.0000000
1798,2109,0,540, ,10072,3752,14.0258999
1799,2035,0,679, ,10040,3697,7.0000000
1800,2122,0,387, ,10037,3681,1.0465100
1801,2079,0,5841, ,10079,3782,14.3670998
1802,2124,0,395, ,0,0,0.0000000
1803,2083,0,3590, ,10067,3693,8.0980501
1804,2091,2779,284667,Upper Methow,32598,1784,27.1707993
1805,2129,0,453, ,10339,5063,3.0000000
1806,2038,0,1042, ,10050,3698,0.9990400
1807,2113,0,587919, ,0,0,17.9988003
1808,2132,0,9847, ,10107,3923,9.6037397
1809,2230,0,16801, ,10130,4034,9.2663498
1810,2134,2848,25183,Upper Methow,32848,2134,30.4972000
1811,2130,0,4585, ,20107,4153,6.4713202
1812,2076,0,28528, ,10142,4077,26.8603992
1813,2152,0,3477, ,10432,5421,25.3258991
1814,2098,2742,324667, ,0,0,19.6326008
1815,2119,2743,1524, ,10160,4136,6.9022298
1816,2123,2691,757, ,32577,1718,28.0000000
