OID_,ppt_ID,shed,scen,treatment,delta
,1135, ,1,50,0
,1141, ,1,50,1.54255
,1155, ,1,50,0.957199
,1166, ,1,50,0.947653
,1168, ,1,50,0
,1173, ,1,50,1.5891401
,1176, ,1,50,0
,1181, ,1,50,1.5585099
,1182, ,1,50,0
,1198, ,1,50,1.57961
,1200, ,1,50,0.941807
,1209, ,1,50,1.80989
,1211, ,1,50,0
,1219, ,1,50,1.51081
,1222, ,1,50,0
,1231, ,1,50,0
,1238, ,1,50,0.939266
,1246, ,1,50,1.28537
,1247, ,1,50,0
,1248, ,1,50,2.0775599
,1256, ,1,50,1.64052
,1257, ,1,50,0
,1260, ,1,50,1.87606
,1262, ,1,50,0.925586
,1285, ,1,50,0.845306
,1301, ,1,50,1.1284699
,1322, ,1,50,1.61694
,1323, ,1,50,1.82549
,1339, ,1,50,0
,1340, ,1,50,1.33223
,1342, ,1,50,2.2586701
,1345, ,1,50,0
,1351, ,1,50,2
,1366, ,1,50,1.16175
,1371, ,1,50,3.2258101
,1378, ,1,50,1.79234
,1380, ,1,50,0.444653
,1381, ,1,50,1.16782
,1386, ,1,50,2.0998199
,1387, ,1,50,0
,1393, ,1,50,1.01162
,1394, ,1,50,1.01954
,1397, ,1,50,1.01623
,1402, ,1,50,16.8843994
,1403, ,1,50,0
,1413, ,1,50,0
,1414, ,1,50,1.01218
,1417, ,1,50,0
,1418, ,1,50,0
,1430, ,1,50,1.08643
,1432, ,1,50,0
,1438, ,1,50,0
,1439, ,1,50,0
,1451, ,1,50,0
,1452, ,1,50,0.470826
,1462, ,1,50,0.122385
,1463, ,1,50,1.38144
,1492, ,1,50,2
,1499, ,1,50,1.01006
,1511, ,1,50,0.0632244
,1525, ,1,50,0.0848072
,1529, ,1,50,0
,1532, ,1,50,0
,1541, ,1,50,1.01601
,1549, ,1,50,2.8473599
,1550, ,1,50,0.864106
,1551, ,1,50,4.7618999
,1553, ,1,50,1.01954
,1555, ,1,50,1.08372
,1576, ,1,50,2.5641
,1588, ,1,50,1.52872
,1589, ,1,50,0
,1606, ,1,50,0.826379
,1607, ,1,50,0.694381
,1610, ,1,50,0
,1616, ,1,50,1.02588
,1620, ,1,50,1.20508
,1621, ,1,50,0.145515
,1623, ,1,50,0
,1636, ,1,50,0
,1640, ,1,50,1.02135
,1654, ,1,50,2.00319
,1656, ,1,50,2.7026999
,1660, ,1,50,9.9734697
,1661, ,1,50,0
,1663, ,1,50,1.88679
,1664, ,1,50,0.499566
,1670, ,1,50,0
,1671, ,1,50,0
,1672, ,1,50,1.02097
,1711, ,1,50,0
,1712, ,1,50,0
,1716, ,1,50,1.02416
,1718, ,1,50,0
,1723, ,1,50,0
,1724, ,1,50,0
,1745, ,1,50,0
,1764, ,1,50,3.8461399
,1776, ,1,50,1.2218699
,1784, ,1,50,1.0204901
,1794, ,1,50,0
,1797, ,1,50,6.8782501
,1810, ,1,50,2.8571401
,1811, ,1,50,3.04354
,1821, ,1,50,0
,1827, ,1,50,2.1386099
,1849, ,1,50,1.85185
,1868, ,1,50,1.02679
,1869, ,1,50,0
,1871, ,1,50,1.81829
,1880, ,1,50,1.5035
,1884, ,1,50,0
,1885, ,1,50,0
,1887, ,1,50,0
,1890, ,1,50,1.85019
,1891, ,1,50,1.03225
,1907, ,1,50,2.38094
,1914, ,1,50,1.02835
,1919, ,1,50,2.06268
,1924, ,1,50,33.3769989
,1925, ,1,50,18.5645008
,1940, ,1,50,6.3424702
,1946, ,1,50,0
,1955, ,1,50,0
,1963, ,1,50,0
,1976, ,1,50,0
,1992, ,1,50,1.27411
,1993, ,1,50,1.04387
,2003, ,1,50,19.9813995
,2012, ,1,50,8.7412996
,2022, ,1,50,0
,2025, ,1,50,6.25
,2064, ,1,50,1.02321
,2066, ,1,50,1.01542
,2072, ,1,50,6.1624899
,2073, ,1,50,5.6426201
,2074, ,1,50,0
,2077, ,1,50,0
,2086, ,1,50,3.1347599
,2089, ,1,50,4.2755899
,2091, ,1,50,1.0086499
,2094, ,1,50,4.83076
,2095, ,1,50,4.6100502
,2097, ,1,50,0
,2101, ,1,50,0
,2131, ,1,50,1.14467
,2134, ,1,50,2.73525
,2202, ,1,50,0
,2238, ,1,50,0
,2241, ,1,50,0
,2264, ,1,50,1.1331
,2300, ,1,50,1.1283
,2310, ,1,50,1.12339
,2348, ,1,50,1.09234
,2351, ,1,50,0.536807
,2497, ,1,50,0.527141
,2556, ,1,50,0.526117
,2613, ,1,50,0.523918
,2773, ,1,50,0.522686
,2802, ,1,50,0.521217
,2953, ,1,50,0.518687
,3042, ,1,50,0.421038
,3210, ,1,50,0.418644
,3328, ,1,50,0.417934
,3355, ,1,50,0.385304
,3395, ,1,50,0.38496
,3446, ,1,50,0
,3470, ,1,50,0.382661
,3488, ,1,50,0.382314
,3501, ,1,50,8.3685598
,3534, ,1,50,9.2558603
,3556, ,1,50,0.37254
,3576, ,1,50,0.371218
,3583, ,1,50,0.370802
,3613, ,1,50,0.369569
,3617, ,1,50,5.3494902
,3637, ,1,50,0
,3647, ,1,50,0
,3654, ,1,50,2.3546801
,3662, ,1,50,0.368362
,3674, ,1,50,0
,3675, ,1,50,0.367834
,3681, ,1,50,14.3247995
,3693, ,1,50,3.12061
,3697, ,1,50,0
,3698, ,1,50,4.5904899
,3714, ,1,50,0.671966
,3742, ,1,50,0.36512
,3752, ,1,50,5.3407001
,3755, ,1,50,99.8414993
,3760, ,1,50,1.70488
,3764, ,1,50,0
,3768, ,1,50,0.363822
,3770, ,1,50,2.63411
,3778, ,1,50,3.92156
,3779, ,1,50,2.6926301
,3781, ,1,50,0
,3782, ,1,50,2.4802799
,3787, ,1,50,11.1259003
,3808, ,1,50,3.21679
,3809, ,1,50,2.28701
,3818, ,1,50,37.3900986
,3846, ,1,50,0
,3853, ,1,50,2.1442699
,3871, ,1,50,0.354327
,3884, ,1,50,0
,3890, ,1,50,0
,3891, ,1,50,1.76631
,3895, ,1,50,18.8041
,3903, ,1,50,0
,3923, ,1,50,0.705338
,3928, ,1,50,0.353589
,3932, ,1,50,1.6339
,3957, ,1,50,4.6461201
,3958, ,1,50,3.2934999
,3971, ,1,50,0
,3972, ,1,50,14.1190004
,3991, ,1,50,0
,3993, ,1,50,9.2865496
,4005, ,1,50,0
,4012, ,1,50,0
,4014, ,1,50,0.660325
,4020, ,1,50,2.9228401
,4021, ,1,50,0
,4033, ,1,50,0
,4034, ,1,50,3.0624199
,4051, ,1,50,5.45081
,4052, ,1,50,0.353218
,4063, ,1,50,0
,4075, ,1,50,1.5316
,4077, ,1,50,2.1185501
,4107, ,1,50,2.7946601
,4108, ,1,50,2.14399
,4126, ,1,50,2.1285501
,4127, ,1,50,1.66328
,4136, ,1,50,0
,4137, ,1,50,0.352305
,4140, ,1,50,0.352746
,4142, ,1,50,4.5454502
,4143, ,1,50,5.2535601
,4150, ,1,50,9.1033201
,4153, ,1,50,1.39078
,4168, ,1,50,2.7027099
,4169, ,1,50,2.1282899
,4177, ,1,50,0
,4178, ,1,50,4.4773002
,4199, ,1,50,0
,4221, ,1,50,2.0107601
,4227, ,1,50,4.4631901
,4228, ,1,50,0
,4232, ,1,50,1.9816999
,4238, ,1,50,0.332211
,4242, ,1,50,4.3385901
,4245, ,1,50,3.7037001
,4258, ,1,50,0.33172
,4271, ,1,50,0
,4272, ,1,50,3.2232001
,4280, ,1,50,1.9162
,4281, ,1,50,4.1666698
,4288, ,1,50,3.1313801
,4295, ,1,50,4.32376
,4298, ,1,50,0
,4311, ,1,50,2.6315899
,4316, ,1,50,4.2641001
,4318, ,1,50,4.5559902
,4328, ,1,50,1.97708
,4329, ,1,50,16.6667004
,4333, ,1,50,5.6061101
,4339, ,1,50,0
,4340, ,1,50,4.2119198
,4341, ,1,50,3.2248199
,4366, ,1,50,0.33135
,4372, ,1,50,3.84166
,4373, ,1,50,5.1953201
,4377, ,1,50,3.8749399
,4382, ,1,50,0
,4399, ,1,50,0
,4409, ,1,50,1.93418
,4439, ,1,50,4.1540999
,4445, ,1,50,0
,4465, ,1,50,2.8803201
,4466, ,1,50,4.0233698
,4476, ,1,50,0.330059
,4494, ,1,50,1.84026
,4495, ,1,50,0
,4497, ,1,50,2.8571401
,4498, ,1,50,0.547988
,4503, ,1,50,0
,4504, ,1,50,3.89289
,4505, ,1,50,0.328197
,4521, ,1,50,2.4434199
,4533, ,1,50,3.6586299
,4536, ,1,50,0.605506
,4545, ,1,50,1.81294
,4546, ,1,50,1.8531899
,4547, ,1,50,0
,4553, ,1,50,0.65346
,4565, ,1,50,0
,4576, ,1,50,3.72439
,4577, ,1,50,2.5659699
,4580, ,1,50,0.327647
,4587, ,1,50,0.327491
,4602, ,1,50,3.2627699
,4603, ,1,50,0.326998
,4605, ,1,50,1.83675
,4606, ,1,50,1.6129
,4610, ,1,50,2.38012
,4611, ,1,50,0.326442
,4612, ,1,50,0.326197
,4625, ,1,50,0
,4632, ,1,50,4.1696301
,4634, ,1,50,1.85516
,4641, ,1,50,0.320051
,4644, ,1,50,3.4807701
,4648, ,1,50,0
,4660, ,1,50,0
,4664, ,1,50,0.649341
,4666, ,1,50,0.273558
,4670, ,1,50,0
,4671, ,1,50,0
,4677, ,1,50,3.42149
,4680, ,1,50,0
,4681, ,1,50,0
,4683, ,1,50,1.9663301
,4690, ,1,50,0.713747
,4700, ,1,50,2.7269499
,4704, ,1,50,1.3698601
,4717, ,1,50,3.21436
,4721, ,1,50,0.728636
,4722, ,1,50,0
,4728, ,1,50,5.2631502
,4732, ,1,50,2.8526299
